id,pokemon_id,pokemon_name,form,base_attack,base_defense,base_stamina
1163,649,Genesect,Normal,252,199,174
1164,649,Genesect,Shock,252,199,174
384,146,Moltres,Normal,251,181,207
385,146,Moltres,Purified,251,181,207
386,146,Moltres,Shadow,251,181,207
570,248,Tyranitar,Normal,251,207,225
571,248,Tyranitar,Purified,251,207,225
572,248,Tyranitar,Shadow,251,207,225
946,485,Heatran,Normal,251,213,209
1063,571,Zoroark,Normal,250,127,155
1158,648,Meloetta,Aria,250,225,225
910,466,Electivire,Normal,249,163,181
911,466,Electivire,Purified,249,163,181
912,466,Electivire,Shadow,249,163,181
1244,865,Sirfetch’d,Galarian,248,176,158
1245,865,Sirfetch’d,Purified,248,176,158
1246,865,Sirfetch’d,Shadow,248,176,158
913,467,Magmortar,Normal,247,172,181
914,467,Magmortar,Purified,247,172,181
915,467,Magmortar,Shadow,247,172,181
923,473,Mamoswine,Normal,247,146,242
356,136,Flareon,Normal,246,179,163
737,359,Absol,Normal,246,120,163
738,359,Absol,Purified,246,120,163
739,359,Absol,Shadow,246,120,163
1154,646,Kyurem,Normal,246,170,245
674,319,Sharpedo,Normal,243,83,172
675,319,Sharpedo,Purified,243,83,172
676,319,Sharpedo,Shadow,243,83,172
814,407,Roserade,Normal,243,185,155
848,430,Honchkrow,Normal,243,103,225
849,430,Honchkrow,Purified,243,103,225
850,430,Honchkrow,Shadow,243,103,225
899,461,Weavile,Normal,243,171,172
900,461,Weavile,Purified,243,171,172
901,461,Weavile,Shadow,243,171,172
1014,534,Conkeldurr,Normal,243,158,233
1042,555,Darmanitan,Zen,243,202,233
555,243,Raikou,Normal,241,195,207
556,243,Raikou,Purified,241,195,207
557,243,Raikou,Shadow,241,195,207
634,286,Breloom,Normal,241,144,155
906,464,Rhyperior,Normal,241,190,251
907,464,Rhyperior,Purified,241,190,251
908,464,Rhyperior,Shadow,241,190,251
275,99,Kingler,Normal,240,181,146
276,99,Kingler,Purified,240,181,146
277,99,Kingler,Shadow,240,181,146
581,257,Blaziken,Normal,240,141,190
574,250,Ho-Oh,Normal,239,244,214
339,127,Pinsir,Normal,238,182,163
340,127,Pinsir,Purified,238,182,163
341,127,Pinsir,Shadow,238,182,163
902,462,Magnezone,Normal,238,205,172
903,462,Magnezone,Purified,238,205,172
904,462,Magnezone,Shadow,238,205,172
919,471,Glaceon,Normal,238,205,163
956,493,Arceus,Bug,238,238,237
957,493,Arceus,Dark,238,238,237
958,493,Arceus,Dragon,238,238,237
959,493,Arceus,Electric,238,238,237
960,493,Arceus,Fairy,238,238,237
961,493,Arceus,Fighting,238,238,237
962,493,Arceus,Fire,238,238,237
963,493,Arceus,Flying,238,238,237
964,493,Arceus,Ghost,238,238,237
965,493,Arceus,Grass,238,238,237
966,493,Arceus,Ground,238,238,237
967,493,Arceus,Ice,238,238,237
968,493,Arceus,Normal,238,238,237
969,493,Arceus,Poison,238,238,237
970,493,Arceus,Psychic,238,238,237
971,493,Arceus,Rock,238,238,237
972,493,Arceus,Steel,238,238,237
973,493,Arceus,Water,238,238,237
1146,641,Tornadus,Therian,238,189,188
346,130,Gyarados,Normal,237,186,216
347,130,Gyarados,Purified,237,186,216
348,130,Gyarados,Shadow,237,186,216
628,282,Gardevoir,Normal,237,195,169
629,282,Gardevoir,Purified,237,195,169
630,282,Gardevoir,Shadow,237,195,169
927,475,Gallade,Normal,237,195,169
928,475,Gallade,Purified,237,195,169
929,475,Gallade,Shadow,237,195,169
501,212,Scizor,Normal,236,181,172
502,212,Scizor,Purified,236,181,172
503,212,Scizor,Shadow,236,181,172
514,217,Ursaring,Normal,236,144,207
515,217,Ursaring,Purified,236,144,207
516,217,Ursaring,Shadow,236,144,207
878,448,Lucario,Normal,236,144,172
558,244,Entei,Normal,235,171,251
559,244,Entei,Purified,235,171,251
560,244,Entei,Shadow,235,171,251
980,500,Emboar,Normal,235,127,242
189,68,Machamp,Normal,234,159,207
190,68,Machamp,Purified,234,159,207
191,68,Machamp,Shadow,234,159,207
507,214,Heracross,Normal,234,179,190
805,398,Staraptor,Normal,234,140,198
284,103,Exeggutor,Normal,233,149,216
285,103,Exeggutor,Purified,233,149,216
286,103,Exeggutor,Shadow,233,149,216
1115,614,Beartic,Normal,233,152,216
177,64,Kadabra,Normal,232,117,120
178,64,Kadabra,Purified,232,117,120
179,64,Kadabra,Shadow,232,117,120
355,135,Jolteon,Normal,232,182,163
812,405,Luxray,Normal,232,156,190
1129,625,Bisharp,Normal,232,176,163
1132,628,Braviary,Normal,232,152,225
917,469,Yanmega,Normal,231,156,200
1019,539,Sawk,Normal,231,153,181
283,103,Exeggutor,Alola,230,153,216
781,386,Deoxys,Speed,230,218,137
1170,655,Delphox,Normal,230,189,181
1034,553,Krookodile,Normal,229,158,216
772,380,Latias,Normal,228,246,190
162,59,Arcanine,Normal,227,166,207
163,59,Arcanine,Purified,227,166,207
164,59,Arcanine,Shadow,227,166,207
1214,697,Tyrantrum,Normal,227,191,193
1001,521,Unfezant,Normal,226,146,190
1006,526,Gigalith,Normal,226,201,198
1191,675,Pangoro,Normal,226,146,216
1237,809,Melmetal,Normal,226,190,264
916,468,Togekiss,Normal,225,217,198
949,487,Giratina,Origin,225,187,284
294,106,Hitmonlee,Normal,224,181,137
295,106,Hitmonlee,Purified,224,181,137
296,106,Hitmonlee,Shadow,224,181,137
535,229,Houndoom,Normal,224,144,181
536,229,Houndoom,Purified,224,144,181
537,229,Houndoom,Shadow,224,144,181
709,342,Crawdaunt,Normal,224,142,160
18,6,Charizard,Copy_2019,223,173,186
19,6,Charizard,Normal,223,173,186
20,6,Charizard,Purified,223,173,186
21,6,Charizard,Shadow,223,173,186
234,82,Magneton,Normal,223,169,137
235,82,Magneton,Purified,223,169,137
236,82,Magneton,Shadow,223,169,137
260,93,Haunter,Normal,223,107,128
332,124,Jynx,Normal,223,151,163
406,157,Typhlosion,Normal,223,173,186
578,254,Sceptile,Normal,223,169,172
1087,589,Escavalier,Normal,223,187,172
1173,658,Greninja,Normal,223,152,176
311,112,Rhydon,Normal,222,171,233
312,112,Rhydon,Purified,222,171,233
313,112,Rhydon,Shadow,222,171,233
702,335,Zangoose,Normal,222,124,177
715,348,Armaldo,Normal,222,174,181
797,392,Infernape,Normal,222,151,183
798,392,Infernape,Purified,222,151,183
799,392,Infernape,Shadow,222,151,183
1127,623,Golurk,Normal,222,154,205
372,142,Aerodactyl,Normal,221,159,190
373,142,Aerodactyl,Purified,221,159,190
374,142,Aerodactyl,Shadow,221,159,190
697,332,Cacturne,Normal,221,115,172
698,332,Cacturne,Purified,221,115,172
699,332,Cacturne,Shadow,221,115,172
830,419,Floatzel,Normal,221,114,198
1106,606,Beheeyem,Normal,221,163,181
1183,668,Pyroar,Female,221,149,200
1184,668,Pyroar,Normal,221,149,200
1210,693,Clawitzer,Normal,221,171,174
369,141,Kabutops,Normal,220,186,155
370,141,Kabutops,Purified,220,186,155
371,141,Kabutops,Shadow,220,186,155
1118,617,Accelgor,Normal,220,120,190
1223,706,Goodra,Normal,220,242,207
1212,695,Heliolisk,Normal,219,168,158
242,85,Dodrio,Normal,218,140,155
329,123,Scyther,Normal,218,170,172
330,123,Scyther,Purified,218,170,172
331,123,Scyther,Shadow,218,170,172
726,354,Banette,Normal,218,126,162
727,354,Banette,Purified,218,126,162
728,354,Banette,Shadow,218,126,162
815,408,Cranidos,Normal,218,71,167
1076,584,Vanilluxe,Normal,218,184,174
1104,604,Eelektross,Normal,217,152,198
1136,632,Durant,Normal,217,188,151
918,470,Leafeon,Normal,216,219,163
663,310,Manectric,Normal,215,127,172
540,232,Donphan,Normal,214,185,207
1029,549,Lilligant,Normal,214,155,172
1071,579,Reuniclus,Normal,214,148,242
1058,566,Archen,Normal,213,89,146
1125,621,Druddigon,Normal,213,170,184
499,210,Granbull,Normal,212,131,207
942,481,Mesprit,Normal,212,212,190
983,503,Samurott,Normal,212,157,216
1111,611,Fraxure,Normal,212,123,165
1187,671,Florges,Normal,212,244,186
1247,866,Mr. Rime,Galarian,212,179,190
1248,866,Mr. Rime,Purified,212,179,190
1249,866,Mr. Rime,Shadow,212,179,190
211,76,Golem,Alola,211,198,190
212,76,Golem,Normal,211,198,190
213,76,Golem,Purified,211,198,190
214,76,Golem,Shadow,211,198,190
436,181,Ampharos,Normal,211,169,207
437,181,Ampharos,Purified,211,169,207
438,181,Ampharos,Shadow,211,169,207
748,368,Gorebyss,Normal,211,179,146
845,429,Mismagius,Normal,211,187,155
846,429,Mismagius,Purified,211,187,155
847,429,Mismagius,Shadow,211,187,155
888,454,Toxicroak,Normal,211,133,195
1003,523,Zebstrika,Normal,211,136,181
324,121,Starmie,Normal,210,184,155
400,151,Mew,Normal,210,210,225
575,251,Celebi,Normal,210,210,225
777,385,Jirachi,Normal,210,210,225
802,395,Empoleon,Normal,210,186,197
952,490,Manaphy,Normal,210,210,225
954,492,Shaymin,Land,210,210,225
974,494,Victini,Normal,210,210,225
645,297,Hariyama,Normal,209,114,302
588,260,Swampert,Normal,208,175,225
589,260,Swampert,Purified,208,175,225
590,260,Swampert,Shadow,208,175,225
1070,578,Duosion,Normal,208,103,163
158,57,Primeape,Normal,207,138,163
198,71,Victreebel,Normal,207,135,190
199,71,Victreebel,Purified,207,135,190
200,71,Victreebel,Shadow,207,135,190
219,78,Rapidash,Galarian,207,162,163
220,78,Rapidash,Normal,207,162,163
221,78,Rapidash,Purified,207,162,163
222,78,Rapidash,Shadow,207,162,163
363,139,Omastar,Normal,207,201,172
364,139,Omastar,Purified,207,201,172
365,139,Omastar,Shadow,207,201,172
909,465,Tangrowth,Normal,207,184,225
336,126,Magmar,Normal,206,154,163
337,126,Magmar,Purified,206,154,163
338,126,Magmar,Shadow,206,154,163
988,508,Stoutland,Normal,206,182,198
992,512,Simisage,Normal,206,133,181
994,514,Simisear,Normal,206,133,181
996,516,Simipour,Normal,206,133,181
354,134,Vaporeon,Normal,205,161,277
409,160,Feraligatr,Normal,205,188,198
691,330,Flygon,Normal,205,168,190
692,330,Flygon,Purified,205,168,190
693,330,Flygon,Shadow,205,168,190
838,424,Ambipom,Normal,205,143,181
839,424,Ambipom,Purified,205,143,181
840,424,Ambipom,Shadow,205,143,181
1022,542,Leavanny,Normal,205,165,181
1232,715,Noivern,Normal,205,175,198
96,34,Nidoking,Normal,204,156,191
97,34,Nidoking,Purified,204,156,191
98,34,Nidoking,Shadow,204,156,191
935,479,Rotom,Fan,204,219,137
936,479,Rotom,Frost,204,219,137
937,479,Rotom,Heat,204,219,137
938,479,Rotom,Mow,204,219,137
940,479,Rotom,Wash,204,219,137
1048,561,Sigilyph,Normal,204,167,176
1135,631,Heatmor,Normal,204,129,198
1025,545,Scolipede,Normal,203,175,155
1217,700,Sylveon,Normal,203,205,216
123,45,Vileplume,Normal,202,167,181
124,45,Vileplume,Purified,202,167,181
125,45,Vileplume,Shadow,202,167,181
788,389,Torterra,Normal,202,188,216
789,389,Torterra,Purified,202,188,216
790,389,Torterra,Shadow,202,188,216
71,26,Raichu,Alola,201,154,155
138,51,Dugtrio,Alola,201,142,111
882,450,Hippowdon,Normal,201,191,239
883,450,Hippowdon,Purified,201,191,239
884,450,Hippowdon,Shadow,201,191,239
1043,556,Maractus,Normal,201,130,181
1096,596,Galvantula,Normal,201,128,172
1167,652,Chesnaught,Normal,201,204,204
1226,709,Trevenant,Normal,201,154,198
615,275,Shiftry,Normal,200,121,207
616,275,Shiftry,Purified,200,121,207
617,275,Shiftry,Shadow,200,121,207
639,291,Ninjask,Normal,199,112,156
1101,601,Klinklang,Normal,199,214,155
7,3,Venusaur,Copy_2019,198,189,190
8,3,Venusaur,Normal,198,189,190
9,3,Venusaur,Purified,198,189,190
10,3,Venusaur,Shadow,198,189,190
333,125,Electabuzz,Normal,198,158,163
334,125,Electabuzz,Purified,198,158,163
335,125,Electabuzz,Shadow,198,158,163
342,128,Tauros,Normal,198,183,181
541,233,Porygon2,Normal,198,180,198
542,233,Porygon2,Purified,198,180,198
543,233,Porygon2,Shadow,198,180,198
659,306,Aggron,Normal,198,257,172
1065,573,Cinccino,Normal,198,130,181
1081,586,Sawsbuck,Autumn,198,146,190
1082,586,Sawsbuck,Spring,198,146,190
1083,586,Sawsbuck,Summer,198,146,190
1084,586,Sawsbuck,Winter,198,146,190
523,224,Octillery,Normal,197,141,181
747,367,Huntail,Normal,197,179,146
703,336,Seviper,Normal,196,118,177
1189,673,Gogoat,Normal,196,146,265
1230,713,Avalugg,Normal,196,240,216
174,63,Abra,Normal,195,82,93
175,63,Abra,Purified,195,82,93
176,63,Abra,Shadow,195,82,93
1130,626,Bouffalant,Normal,195,182,216
1218,701,Hawlucha,Normal,195,153,186
1241,863,Perrserker,Galarian,195,162,172
1242,863,Perrserker,Purified,195,162,172
1243,863,Perrserker,Shadow,195,162,172
418,169,Crobat,Normal,194,178,198
419,169,Crobat,Purified,194,178,198
420,169,Crobat,Shadow,194,178,198
538,230,Kingdra,Normal,194,194,181
680,323,Camerupt,Normal,194,136,172
1206,689,Barbaracle,Normal,194,205,176
72,26,Raichu,Normal,193,151,155
297,107,Hitmonchan,Normal,193,197,137
298,107,Hitmonchan,Purified,193,197,137
299,107,Hitmonchan,Shadow,193,197,137
573,249,Lugia,Normal,193,310,235
326,122,Mr. Mime,Normal,192,205,120
327,122,Mr. Mime,Purified,192,205,120
328,122,Mr. Mime,Shadow,192,205,120
378,144,Articuno,Normal,192,236,207
379,144,Articuno,Purified,192,236,207
380,144,Articuno,Shadow,192,236,207
429,178,Xatu,Normal,192,146,163
544,234,Stantler,Normal,192,131,177
545,234,Stantler,Purified,192,131,177
546,234,Stantler,Shadow,192,131,177
632,284,Masquerain,Normal,192,150,172
717,350,Milotic,Normal,192,219,216
1057,565,Carracosta,Normal,192,197,179
1142,638,Cobalion,Normal,192,229,209
1144,640,Virizion,Normal,192,229,209
154,55,Golduck,Normal,191,162,190
155,55,Golduck,Purified,191,162,190
156,55,Golduck,Shadow,191,162,190
249,89,Muk,Alola,190,172,233
250,89,Muk,Normal,190,172,233
251,89,Muk,Purified,190,172,233
252,89,Muk,Shadow,190,172,233
375,143,Snorlax,Normal,190,169,330
376,143,Snorlax,Purified,190,169,330
377,143,Snorlax,Shadow,190,169,330
1116,615,Cryogonal,Normal,190,218,190
508,215,Sneasel,Normal,189,146,146
509,215,Sneasel,Purified,189,146,146
510,215,Sneasel,Shadow,189,146,146
603,267,Beautifly,Normal,189,98,155
1030,550,Basculin,Blue_striped,189,129,172
1031,550,Basculin,Red_striped,189,129,172
1017,537,Seismitoad,Normal,188,150,233
1045,558,Crustle,Normal,188,200,172
320,117,Seadra,Normal,187,156,146
889,455,Carnivine,Normal,187,136,179
948,487,Giratina,Altered,187,225,284
990,510,Liepard,Normal,187,106,162
256,91,Cloyster,Normal,186,256,137
257,91,Cloyster,Purified,186,256,137
258,91,Cloyster,Shadow,186,256,137
259,92,Gastly,Normal,186,67,102
668,315,Roselia,Normal,186,131,137
1216,699,Aurorus,Normal,186,163,265
461,192,Sunflora,Normal,185,135,181
619,277,Swellow,Normal,185,124,155
825,414,Mothim,Normal,185,98,172
920,472,Gliscor,Normal,185,222,181
921,472,Gliscor,Purified,185,222,181
922,472,Gliscor,Shadow,185,222,181
939,479,Rotom,Normal,185,159,137
500,211,Qwilfish,Normal,184,138,163
857,435,Skuntank,Normal,184,132,230
858,435,Skuntank,Purified,184,132,230
859,435,Skuntank,Shadow,184,132,230
315,114,Tangela,Normal,183,169,163
325,122,Mr. Mime,Galarian,183,169,137
865,441,Chatot,Normal,183,91,183
998,518,Musharna,Normal,183,166,253
57,22,Fearow,Normal,182,133,163
78,28,Sandslash,Normal,182,175,181
79,28,Sandslash,Purified,182,175,181
80,28,Sandslash,Shadow,182,175,181
171,62,Poliwrath,Normal,182,184,207
172,62,Poliwrath,Purified,182,184,207
173,62,Poliwrath,Shadow,182,184,207
396,150,Mewtwo,A,182,278,214
484,203,Girafarig,Normal,182,133,172
745,365,Walrein,Normal,182,176,242
1073,581,Swanna,Normal,182,132,181
272,98,Krabby,Normal,181,124,102
273,98,Krabby,Purified,181,124,102
274,98,Krabby,Shadow,181,124,102
316,115,Kangaskhan,Normal,181,165,233
317,115,Kangaskhan,Purified,181,165,233
318,115,Kangaskhan,Shadow,181,165,233
520,221,Piloswine,Normal,181,138,225
1061,569,Garbodor,Normal,181,164,190
87,31,Nidoqueen,Normal,180,173,207
88,31,Nidoqueen,Purified,180,173,207
89,31,Nidoqueen,Shadow,180,173,207
561,245,Suicune,Normal,180,235,225
562,245,Suicune,Purified,180,235,225
563,245,Suicune,Shadow,180,235,225
842,426,Drifblim,Normal,180,102,312
886,452,Drapion,Normal,180,202,172
931,477,Dusknoir,Normal,180,254,128
932,477,Dusknoir,Purified,180,254,128
933,477,Dusknoir,Shadow,180,254,128
1013,533,Gurdurr,Normal,180,134,198
1238,862,Obstagoon,Galarian,180,194,212
1239,862,Obstagoon,Purified,180,194,212
1240,862,Obstagoon,Shadow,180,194,212
131,49,Venomoth,Normal,179,143,172
132,49,Venomoth,Purified,179,143,172
133,49,Venomoth,Shadow,179,143,172
643,295,Exploud,Normal,179,137,232
769,377,Regirock,Normal,179,309,190
770,378,Regice,Normal,179,309,190
100,36,Clefable,Normal,178,162,216
704,337,Lunatone,Normal,178,153,207
705,338,Solrock,Normal,178,153,207
896,460,Abomasnow,Normal,178,158,207
897,460,Abomasnow,Purified,178,158,207
898,460,Abomasnow,Shadow,178,158,207
77,28,Sandslash,Alola,177,195,181
186,67,Machoke,Normal,177,125,190
187,67,Machoke,Purified,177,125,190
188,67,Machoke,Shadow,177,125,190
227,80,Slowbro,2021,177,180,216
228,80,Slowbro,Normal,177,180,216
229,80,Slowbro,Purified,177,180,216
230,80,Slowbro,Shadow,177,180,216
474,199,Slowking,Normal,177,180,216
475,199,Slowking,Purified,177,180,216
476,199,Slowking,Shadow,177,180,216
1204,687,Malamar,Normal,177,165,200
1208,691,Dragalge,Normal,177,207,163
714,347,Anorith,Normal,176,100,128
1068,576,Gothitelle,Normal,176,205,172
1178,663,Talonflame,Normal,176,155,186
1181,666,Vivillon,Normal,176,103,190
322,119,Seaking,Normal,175,147,190
471,198,Murkrow,Normal,175,87,155
472,198,Murkrow,Purified,175,87,155
473,198,Murkrow,Shadow,175,87,155
621,279,Pelipper,Normal,175,174,155
678,321,Wailord,Normal,175,87,347
736,358,Chimecho,Normal,175,170,181
237,83,Farfetch’d,Galarian,174,114,141
304,110,Weezing,Galarian,174,197,163
305,110,Weezing,Normal,174,197,163
306,110,Weezing,Purified,174,197,163
307,110,Weezing,Shadow,174,197,163
445,186,Politoed,Normal,174,179,207
446,186,Politoed,Purified,174,179,207
447,186,Politoed,Shadow,174,179,207
1005,525,Boldore,Normal,174,143,172
279,101,Electrode,Normal,173,173,155
549,237,Hitmontop,Normal,173,207,137
608,272,Ludicolo,Normal,173,176,190
979,499,Pignite,Normal,173,106,207
1200,683,Aromatisse,Normal,173,150,226
195,70,Weepinbell,Normal,172,92,163
196,70,Weepinbell,Purified,172,92,163
197,70,Weepinbell,Shadow,172,92,163
577,253,Grovyle,Normal,172,120,137
754,372,Shelgon,Normal,172,155,163
755,372,Shelgon,Purified,172,155,163
756,372,Shelgon,Shadow,172,155,163
852,432,Purugly,Normal,172,133,174
870,444,Gabite,Normal,172,125,169
871,444,Gabite,Purified,172,125,169
872,444,Gabite,Shadow,172,125,169
1018,538,Throh,Normal,172,160,260
29,9,Blastoise,Copy_2019,171,207,188
30,9,Blastoise,Normal,171,207,188
31,9,Blastoise,Purified,171,207,188
32,9,Blastoise,Shadow,171,207,188
592,262,Mightyena,Normal,171,132,172
671,318,Carvanha,Normal,171,39,128
672,318,Carvanha,Purified,171,39,128
673,318,Carvanha,Shadow,171,39,128
683,326,Grumpig,Normal,171,188,190
934,478,Froslass,Normal,171,150,172
1169,654,Braixen,Normal,171,130,153
105,38,Ninetales,Alola,170,193,177
215,77,Ponyta,Galarian,170,127,137
216,77,Ponyta,Normal,170,127,137
217,77,Ponyta,Purified,170,127,137
218,77,Ponyta,Shadow,170,127,137
832,421,Cherrim,Overcast,170,153,172
833,421,Cherrim,Sunny,170,153,172
1069,577,Solosis,Normal,170,83,128
42,15,Beedrill,Normal,169,130,163
43,15,Beedrill,Purified,169,130,163
44,15,Beedrill,Shadow,169,130,163
106,38,Ninetales,Normal,169,190,177
107,38,Ninetales,Purified,169,190,177
108,38,Ninetales,Shadow,169,190,177
439,182,Bellossom,Normal,169,186,181
440,182,Bellossom,Purified,169,186,181
441,182,Bellossom,Shadow,169,186,181
836,423,Gastrodon,East_sea,169,143,244
837,423,Gastrodon,West_sea,169,143,244
866,442,Spiritomb,Normal,169,199,137
1108,608,Lampent,Normal,169,115,155
403,154,Meganium,Normal,168,202,190
1172,657,Frogadier,Normal,168,114,144
1202,685,Slurpuff,Normal,168,163,193
35,12,Butterfree,Normal,167,137,155
61,24,Arbok,Normal,167,153,155
62,24,Arbok,Purified,167,153,155
63,24,Arbok,Shadow,167,153,155
139,51,Dugtrio,Normal,167,136,111
140,51,Dugtrio,Purified,167,134,111
141,51,Dugtrio,Shadow,167,134,111
444,185,Sudowoodo,Normal,167,176,172
477,200,Misdreavus,Normal,167,154,155
478,200,Misdreavus,Purified,167,154,155
479,200,Misdreavus,Shadow,167,154,155
664,311,Plusle,Normal,167,129,155
47,18,Pidgeot,Normal,166,154,195
202,73,Tentacruel,Normal,166,209,190
1194,678,Meowstic,Female,166,167,179
1195,678,Meowstic,Normal,166,167,179
127,47,Parasect,Normal,165,146,155
231,81,Magnemite,Normal,165,121,93
232,81,Magnemite,Purified,165,121,93
233,81,Magnemite,Shadow,165,121,93
349,131,Lapras,Normal,165,174,277
350,131,Lapras,Purified,165,174,277
351,131,Lapras,Shadow,165,174,277
985,505,Watchog,Normal,165,139,155
207,75,Graveler,Alola,164,164,146
208,75,Graveler,Normal,164,164,146
209,75,Graveler,Purified,164,164,146
210,75,Graveler,Shadow,164,164,146
1027,547,Whimsicott,Normal,164,176,155
1192,676,Furfrou,Normal,164,167,181
1219,702,Dedenne,Normal,164,134,167
390,148,Dragonair,Normal,163,135,156
391,148,Dragonair,Purified,163,135,156
392,148,Dragonair,Shadow,163,135,156
580,256,Combusken,Normal,163,115,155
1047,560,Scrafty,Normal,163,222,163
1053,563,Cofagrigus,Normal,163,237,151
1054,563,Cofagrigus,Purified,163,237,151
1055,563,Cofagrigus,Shadow,163,237,151
1250,867,Runerigus,Galarian,163,237,151
1251,867,Runerigus,Purified,163,237,151
1252,867,Runerigus,Shadow,163,237,151
685,328,Trapinch,Normal,162,78,128
686,328,Trapinch,Purified,162,78,128
687,328,Trapinch,Shadow,162,78,128
742,362,Glalie,Normal,162,162,190
749,369,Relicanth,Normal,162,203,225
807,400,Bibarel,Normal,162,119,188
951,489,Phione,Normal,162,162,190
53,20,Raticate,Normal,161,139,146
54,20,Raticate,Purified,161,139,146
55,20,Raticate,Shadow,161,139,146
114,42,Golbat,Normal,161,150,181
115,42,Golbat,Purified,161,150,181
116,42,Golbat,Shadow,161,150,181
417,168,Ariados,Normal,161,124,172
488,205,Forretress,Normal,161,205,181
489,205,Forretress,Purified,161,205,181
490,205,Forretress,Shadow,161,205,181
722,352,Kecleon,Normal,161,189,155
861,437,Bronzong,Normal,161,213,167
905,463,Lickilicky,Normal,161,181,242
977,497,Serperior,Normal,161,204,181
1008,528,Swoobat,Normal,161,119,167
809,402,Kricketune,Normal,160,100,184
1123,619,Mienfoo,Normal,160,98,128
1224,707,Klefki,Normal,160,179,149
636,288,Vigoroth,Normal,159,145,190
811,404,Luxio,Normal,159,95,155
982,502,Dewott,Normal,159,116,181
1092,593,Jellicent,Female,159,178,225
1093,593,Jellicent,Normal,159,178,225
1138,634,Zweilous,Normal,159,135,176
1222,705,Sliggoo,Normal,159,176,169
15,5,Charmeleon,Normal,158,126,151
16,5,Charmeleon,Purified,158,126,151
17,5,Charmeleon,Shadow,158,126,151
147,53,Persian,Alola,158,136,163
241,84,Doduo,Normal,158,83,111
405,156,Quilava,Normal,158,126,151
658,305,Lairon,Normal,158,198,155
794,391,Monferno,Normal,158,105,162
795,391,Monferno,Purified,158,105,162
796,391,Monferno,Shadow,158,105,162
1085,587,Emolga,Normal,158,127,146
1098,598,Ferrothorn,Normal,158,223,179
1213,696,Tyrunt,Normal,158,123,151
553,241,Miltank,Normal,157,193,216
785,388,Grotle,Normal,157,143,181
786,388,Grotle,Purified,157,143,181
787,388,Grotle,Shadow,157,143,181
110,40,Wigglytuff,Normal,156,90,295
585,259,Marshtomp,Normal,156,133,172
586,259,Marshtomp,Purified,156,133,172
587,259,Marshtomp,Shadow,156,133,172
694,331,Cacnea,Normal,156,74,137
695,331,Cacnea,Purified,156,74,137
696,331,Cacnea,Shadow,156,74,137
